"Model","Table","Direct delegate reference files","Files","Interpretation"
"SecurityEvent","security_events","14","src/app/api/v1/admin/risk-alerts/route.ts;src/app/api/v1/auth/login/route.ts;src/app/api/v1/security-events/route.ts;src/lib/audit/index.ts;src/lib/auth/refreshToken.ts;src/lib/auth/webauthn.ts;src/lib/featureFlags/index.ts;src/lib/retention/job.ts;tests/unit/auth.test.ts;tests/unit/companyActivate.test.ts;tests/unit/featureFlags.test.ts;tests/unit/idempotency.test.ts;tests/unit/mfaEnrollment.test.ts;tests/unit/postSale.test.ts","Direct references found"
"CashierDevicePin","cashier_device_pins","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"WebAuthnCredential","webauthn_credentials","1","src/lib/auth/webauthn.ts","Direct references found"
"WebAuthnChallenge","webauthn_challenges","1","src/lib/auth/webauthn.ts","Direct references found"
"DocumentSequence","document_sequences","2","src/lib/numbering/index.ts;tests/unit/numbering.test.ts","Direct references found"
"DocumentNumberLease","document_number_leases","1","src/lib/numbering/index.ts","Direct references found"
"IdempotencyRequest","idempotency_requests","3","src/lib/idempotency/index.ts;src/lib/reconciliation/checks.ts;tests/unit/idempotency.test.ts","Direct references found"
"BusinessEvent","business_events","20","src/app/api/v1/advances/route.ts;src/domain/commands/m2/PostOpeningStock.ts;src/domain/commands/m2/PostPurchaseReturn.ts;src/domain/commands/m2/PostStockAdjustment.ts;src/domain/commands/m2/PostStockCount.ts;src/domain/commands/m2/ReceivePurchase.ts;src/domain/commands/m2/Transfer.ts;src/domain/commands/m3/Payments.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/PostSaleReturn.ts;src/domain/commands/m3/VoidSale.ts;src/domain/commands/m4/PostJournalEntry.ts;src/domain/commands/m5/FulfillWarrantyClaim.ts;src/domain/commands/m5/PostCourierCodSettlement.ts;src/domain/commands/m5/Service.ts;src/domain/commands/m6/PostPayrollRun.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/journalEntry.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts","Direct references found"
"DocumentExchangeRate","document_exchange_rates","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"AuditLog","audit_logs","82","src/app/api/v1/account-transfers/route.ts;src/app/api/v1/accounting/period-close/[id]/lock/route.ts;src/app/api/v1/accounting/period-close/[id]/route.ts;src/app/api/v1/accounting/period-close/[id]/unlock/route.ts;src/app/api/v1/accounting/revaluate/route.ts;src/app/api/v1/accounting-policies/route.ts;src/app/api/v1/advances/route.ts;src/app/api/v1/audit-logs/route.ts;src/app/api/v1/brands/route.ts;src/app/api/v1/categories/route.ts;src/app/api/v1/chart-of-accounts/route.ts;src/app/api/v1/customers/route.ts;src/app/api/v1/data-subject-requests/route.ts;src/app/api/v1/employees/route.ts;src/app/api/v1/exchange-rates/route.ts;src/app/api/v1/exchange-rates/[id]/route.ts;src/app/api/v1/expenses/[id]/approve/route.ts;src/app/api/v1/feature-flags/[key]/route.ts;src/app/api/v1/financial-accounts/route.ts;src/app/api/v1/fiscal-periods/route.ts;src/app/api/v1/fixed-asset-categories/route.ts;src/app/api/v1/gift-cards/route.ts;src/app/api/v1/leads/route.ts;src/app/api/v1/legal-holds/route.ts;src/app/api/v1/notifications/[id]/read/route.ts;src/app/api/v1/offline/bootstrap/route.ts;src/app/api/v1/offline/sync/route.ts;src/app/api/v1/onboarding/route.ts;src/app/api/v1/onboarding/[id]/activate/route.ts;src/app/api/v1/payments/initiate/route.ts;src/app/api/v1/payments/route.ts;src/app/api/v1/payments/[id]/refund/route.ts;src/app/api/v1/products/route.ts;src/app/api/v1/products/[id]/activate/route.ts;src/app/api/v1/products/[id]/barcodes/route.ts;src/app/api/v1/purchases/route.ts;src/app/api/v1/quotations/route.ts;src/app/api/v1/quotations/[id]/convert/route.ts;src/app/api/v1/stock-counts/route.ts;src/app/api/v1/suppliers/route.ts;src/app/api/v1/tax-codes/route.ts;src/app/api/v1/tax-components/route.ts;src/app/api/v1/tax-periods/route.ts;src/app/api/v1/tax-periods/[id]/route.ts;src/app/api/v1/units/route.ts;src/app/api/v1/warranty-claims/route.ts;src/app/api/v1/webhook-endpoints/route.ts;src/domain/commands/m2/PostLandedCost.ts;src/domain/commands/m2/PostOpeningStock.ts;src/domain/commands/m2/PostPurchaseReturn.ts;src/domain/commands/m2/PostStockAdjustment.ts;src/domain/commands/m2/PostStockCount.ts;src/domain/commands/m2/ReceivePurchase.ts;src/domain/commands/m2/Transfer.ts;src/domain/commands/m3/CashierShift.ts;src/domain/commands/m3/Payments.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/PostSaleReturn.ts;src/domain/commands/m3/VoidSale.ts;src/domain/commands/m4/AssetManagement.ts;src/domain/commands/m4/BankReconciliation.ts;src/domain/commands/m4/PostExpense.ts;src/domain/commands/m4/PostJournalEntry.ts;src/domain/commands/m5/Delivery.ts;src/domain/commands/m5/FulfillWarrantyClaim.ts;src/domain/commands/m5/PostCourierCodSettlement.ts;src/domain/commands/m5/Service.ts;src/domain/commands/m6/CompleteServiceRequest.ts;src/domain/commands/m6/ConvertLead.ts;src/domain/commands/m6/Loyalty.ts;src/domain/commands/m6/PayPayrollRun.ts;src/domain/commands/m6/PostCommunicationCampaign.ts;src/domain/commands/m6/PostPayrollRun.ts;src/lib/audit/index.ts;src/lib/retention/job.ts;tests/unit/companyActivate.test.ts;tests/unit/featureFlags.test.ts;tests/unit/journalEntry.test.ts;tests/unit/m6CrmHr.test.ts;tests/unit/mfaEnrollment.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts","Direct references found"
"ApprovalRequest","approval_requests","4","src/app/api/v1/approvals/route.ts;src/app/api/v1/expenses/[id]/approve/route.ts;src/lib/approval/workflow.ts;src/reports/index.ts","Direct references found"
"StatutoryDocument","statutory_documents","1","src/lib/tax/statutoryDocuments.ts","Direct references found"
"TaxReturnPeriod","tax_return_periods","2","src/app/api/v1/tax-periods/route.ts;src/app/api/v1/tax-periods/[id]/route.ts","Direct references found"
"ReconciliationRun","reconciliation_runs","4","src/app/api/v1/reconciliations/route.ts;src/app/api/v1/reconciliations/[id]/route.ts;src/lib/accounting/periodClose.ts;src/lib/reconciliation/checks.ts","Direct references found"
"ReconciliationFinding","reconciliation_findings","1","src/lib/reconciliation/checks.ts","Direct references found"
"RecoveryEpoch","recovery_epochs","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"IntegrationCredential","integration_credentials","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Category","categories","10","src/app/api/v1/categories/route.ts;src/app/api/v1/products/route.ts;src/domain/invariants/productActivation.ts;src/lib/import-export/importProcessor.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/barcode.test.ts;tests/unit/comboGraph.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"Brand","brands","5","src/app/api/v1/brands/route.ts;src/app/api/v1/products/route.ts;src/lib/import-export/importProcessor.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"Unit","units","13","src/app/(erp)/dashboard/inventory/page.tsx;src/app/api/v1/offline/bootstrap/route.ts;src/app/api/v1/products/route.ts;src/app/api/v1/units/route.ts;src/domain/commands/m3/PostSale.ts;src/domain/invariants/productActivation.ts;src/lib/import-export/importProcessor.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/barcode.test.ts;tests/unit/comboGraph.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"CustomerGroup","customer_groups","1","src/app/api/v1/customers/[id]/route.ts","Direct references found"
"Product","products","30","src/app/(erp)/dashboard/inventory/page.tsx;src/app/api/v1/export-jobs/route.ts;src/app/api/v1/export-jobs/[id]/download/route.ts;src/app/api/v1/inventory/stocks/route.ts;src/app/api/v1/offline/bootstrap/route.ts;src/app/api/v1/print/escpos/[saleId]/route.ts;src/app/api/v1/products/route.ts;src/app/api/v1/products/[id]/activate/route.ts;src/app/api/v1/products/[id]/barcodes/route.ts;src/app/api/v1/products/[id]/route.ts;src/app/api/v1/purchases/route.ts;src/app/api/v1/quotations/route.ts;src/app/print/invoice/[id]/route.ts;src/app/print/receipt/[id]/route.ts;src/domain/commands/m2/PostStockAdjustment.ts;src/domain/commands/m2/Transfer.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/PostSaleReturn.ts;src/domain/commands/m5/Service.ts;src/domain/invariants/comboGraph.ts;src/domain/invariants/productActivation.ts;src/lib/import-export/importProcessor.ts;src/lib/tax/statutoryDocuments.ts;src/reports/index.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/barcode.test.ts;tests/unit/comboGraph.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"MediaAsset","media_assets","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"EntityMediaLink","entity_media_links","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ProductBarcode","product_barcodes","3","src/app/api/v1/products/[id]/barcodes/route.ts;src/domain/invariants/barcode.ts;tests/unit/barcode.test.ts","Direct references found"
"ProductUnitOption","product_unit_options","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ProductComboItem","product_combo_items","2","src/domain/invariants/comboGraph.ts;tests/unit/comboGraph.test.ts","Direct references found"
"DiscountPolicy","discount_policies","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ProductPrice","product_prices","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"TaxCode","tax_codes","2","src/app/api/v1/products/[id]/route.ts;src/app/api/v1/tax-codes/route.ts","Direct references found"
"TaxComponent","tax_components","3","src/app/api/v1/tax-codes/route.ts;src/app/api/v1/tax-components/route.ts;src/domain/commands/m3/PostSale.ts","Direct references found"
"TaxCodeComponent","tax_code_components","1","src/app/api/v1/tax-codes/route.ts","Direct references found"
"WithholdingRule","withholding_rules","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ConfigurationDefinition","configuration_definitions","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ConfigurationValue","configuration_values","1","src/lib/approval/thresholds.ts","Direct references found"
"PosProfile","pos_profiles","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"DocumentTemplate","document_templates","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"SupportedLanguage","supported_languages","1","src/lib/i18n/index.ts","Direct references found"
"CompanyLanguage","company_languages","2","src/lib/i18n/index.ts;tests/unit/featureFlags.test.ts","Direct references found"
"TranslationOverride","translation_overrides","1","src/lib/i18n/index.ts","Direct references found"
"FeatureFlag","feature_flags","4","src/app/api/v1/feature-flags/[key]/route.ts;src/domain/commands/m3/PostSale.ts;src/lib/featureFlags/index.ts;tests/unit/featureFlags.test.ts","Direct references found"
"DashboardPreference","dashboard_preferences","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"SalesTarget","sales_targets","1","src/reports/index.ts","Direct references found"
"SavedReportFilter","saved_report_filters","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ReportExportJob","report_export_jobs","2","src/app/api/v1/export-jobs/route.ts;src/app/api/v1/export-jobs/[id]/download/route.ts","Direct references found"
"SupportTicket","support_tickets","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"SupportTicketMessage","support_ticket_messages","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"CommunicationTemplate","communication_templates","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"WarehouseStock","warehouse_stocks","17","src/app/api/v1/export-jobs/route.ts;src/app/api/v1/export-jobs/[id]/download/route.ts;src/app/api/v1/inventory/stocks/route.ts;src/app/api/v1/products/[id]/route.ts;src/domain/commands/m2/PostStockAdjustment.ts;src/domain/commands/m2/PostStockCount.ts;src/domain/commands/m2/Transfer.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m5/Service.ts;src/domain/inventory/stockMovement.ts;src/lib/reconciliation/checks.ts;src/reports/index.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/nplus1ReconciliationRegression.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"StockMovement","stock_movements","10","src/app/api/v1/inventory/movements/route.ts;src/app/api/v1/inventory/opening-stock/route.ts;src/domain/commands/m2/PostOpeningStock.ts;src/domain/commands/m3/VoidSale.ts;src/domain/inventory/stockMovement.ts;src/lib/reconciliation/checks.ts;src/reports/index.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts","Direct references found"
"StockReservation","stock_reservations","4","src/domain/commands/m2/Transfer.ts;src/lib/inventory/reservationExpiry.ts;src/lib/reconciliation/checks.ts;tests/integration/nplus1MariaDb.test.ts","Direct references found"
"ProductBatch","product_batches","1","src/reports/index.ts","Direct references found"
"StockMovementBatch","stock_movement_batches","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"ProductSerial","product_serials","14","src/app/api/v1/serials/search/route.ts;src/app/api/v1/warranty-claims/route.ts;src/domain/commands/m2/PostOpeningStock.ts;src/domain/commands/m2/ReceivePurchase.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/PostSaleReturn.ts;src/domain/commands/m3/VoidSale.ts;src/domain/commands/m5/FulfillWarrantyClaim.ts;src/domain/commands/m5/Service.ts;src/domain/commands/m6/CompleteServiceRequest.ts;src/lib/reconciliation/checks.ts;src/reports/index.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/postSale.test.ts","Direct references found"
"SerialEvent","serial_events","5","src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/PostSaleReturn.ts;src/domain/commands/m3/VoidSale.ts;src/reports/index.ts;tests/unit/postSale.test.ts","Direct references found"
"InventoryReasonCode","inventory_reason_codes","1","src/domain/commands/m2/PostStockAdjustment.ts","Direct references found"
"StockCount","stock_counts","4","src/app/api/v1/stock-counts/route.ts;src/app/api/v1/stock-counts/[id]/route.ts;src/domain/commands/m2/PostStockCount.ts;src/reports/index.ts","Direct references found"
"StockCountItem","stock_count_items","2","src/app/api/v1/stock-counts/route.ts;src/reports/index.ts","Direct references found"
"StockCountSerial","stock_count_serials","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"StockAdjustment","stock_adjustments","2","src/app/api/v1/stock-adjustments/route.ts;src/domain/commands/m2/PostStockAdjustment.ts","Direct references found"
"StockAdjustmentItem","stock_adjustment_items","1","src/domain/commands/m2/PostStockAdjustment.ts","Direct references found"
"StockAdjustmentItemSerial","stock_adjustment_item_serials","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Customer","customers","11","src/adapters/riskProvider.ts;src/app/(erp)/dashboard/service/page.tsx;src/app/api/v1/customers/route.ts;src/app/api/v1/customers/[id]/route.ts;src/app/api/v1/export-jobs/route.ts;src/app/api/v1/export-jobs/[id]/download/route.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m6/ConvertLead.ts;src/lib/import-export/importProcessor.ts;src/lib/retention/job.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"Supplier","suppliers","6","src/app/(erp)/dashboard/purchases/page.tsx;src/app/api/v1/expenses/[id]/route.ts;src/app/api/v1/purchases/route.ts;src/app/api/v1/suppliers/route.ts;src/lib/import-export/importProcessor.ts;src/reports/index.ts","Direct references found"
"Purchase","purchases","9","src/app/api/v1/purchases/route.ts;src/app/api/v1/purchases/[id]/receivings/route.ts;src/app/api/v1/purchases/[id]/route.ts;src/domain/commands/m2/PostLandedCost.ts;src/domain/commands/m2/PostPurchaseReturn.ts;src/domain/commands/m2/ReceivePurchase.ts;src/lib/reconciliation/checks.ts;src/lib/tax/statutoryDocuments.ts;src/reports/index.ts","Direct references found"
"PurchaseItem","purchase_items","5","src/app/api/v1/products/[id]/route.ts;src/app/api/v1/purchases/route.ts;src/domain/commands/m2/PostLandedCost.ts;src/domain/commands/m2/PostPurchaseReturn.ts;src/domain/commands/m2/ReceivePurchase.ts","Direct references found"
"PurchaseItemTax","purchase_item_taxes","2","src/lib/reconciliation/checks.ts;src/reports/index.ts","Direct references found"
"PurchaseReceiving","purchase_receivings","2","src/app/api/v1/purchases/[id]/receivings/route.ts;src/domain/commands/m2/ReceivePurchase.ts","Direct references found"
"PurchaseReceivingItem","purchase_receiving_items","1","src/domain/commands/m2/ReceivePurchase.ts","Direct references found"
"PurchaseReceivingItemSerial","purchase_receiving_item_serials","1","src/domain/commands/m2/ReceivePurchase.ts","Direct references found"
"LandedCostDocument","landed_cost_documents","1","src/domain/commands/m2/PostLandedCost.ts","Direct references found"
"LandedCostAllocation","landed_cost_allocations","1","src/domain/commands/m2/PostLandedCost.ts","Direct references found"
"PurchaseReturn","purchase_returns","2","src/app/api/v1/purchase-returns/route.ts;src/domain/commands/m2/PostPurchaseReturn.ts","Direct references found"
"PurchaseReturnItem","purchase_return_items","1","src/domain/commands/m2/PostPurchaseReturn.ts","Direct references found"
"PurchaseReturnItemSerial","purchase_return_item_serials","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Transfer","transfers","3","src/app/api/v1/transfers/route.ts;src/domain/commands/m2/Transfer.ts;src/lib/permissions/catalogue.ts","Direct references found"
"TransferItem","transfer_items","1","src/domain/commands/m2/Transfer.ts","Direct references found"
"TransferItemSerial","transfer_item_serials","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Quotation","quotations","3","src/app/api/v1/quotations/route.ts;src/app/api/v1/quotations/[id]/convert/route.ts;src/app/api/v1/quotations/[id]/route.ts","Direct references found"
"QuotationItem","quotation_items","1","src/app/api/v1/quotations/route.ts","Direct references found"
"Sale","sales","19","src/adapters/riskProvider.ts;src/app/(erp)/dashboard/deliveries/page.tsx;src/app/api/v1/customers/[id]/route.ts;src/app/api/v1/export-jobs/route.ts;src/app/api/v1/export-jobs/[id]/download/route.ts;src/app/api/v1/print/escpos/[saleId]/route.ts;src/app/api/v1/quotations/[id]/convert/route.ts;src/app/api/v1/sales/route.ts;src/app/api/v1/sales/[id]/route.ts;src/app/print/invoice/[id]/route.ts;src/app/print/receipt/[id]/route.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/PostSaleReturn.ts;src/domain/commands/m3/VoidSale.ts;src/domain/commands/m5/Delivery.ts;src/lib/reconciliation/checks.ts;src/lib/tax/statutoryDocuments.ts;src/reports/index.ts;tests/unit/postSale.test.ts","Direct references found"
"SaleItem","sale_items","5","src/app/api/v1/products/[id]/route.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/PostSaleReturn.ts;src/reports/index.ts;tests/unit/postSale.test.ts","Direct references found"
"SaleItemSerial","sale_item_serials","2","src/domain/commands/m3/PostSale.ts;tests/unit/postSale.test.ts","Direct references found"
"SaleItemTax","sale_item_taxes","4","src/domain/commands/m3/PostSale.ts;src/lib/reconciliation/checks.ts;src/reports/index.ts;tests/unit/postSale.test.ts","Direct references found"
"SaleReturn","sale_returns","5","src/adapters/riskProvider.ts;src/app/api/v1/refunds/route.ts;src/app/api/v1/sale-returns/route.ts;src/domain/commands/m3/PostSaleReturn.ts;src/lib/tax/statutoryDocuments.ts","Direct references found"
"SaleReturnItem","sale_return_items","1","src/domain/commands/m3/PostSaleReturn.ts","Direct references found"
"SaleReturnItemSerial","sale_return_item_serials","1","src/domain/commands/m3/PostSaleReturn.ts","Direct references found"
"CashierShift","cashier_shifts","5","src/app/api/v1/cashier-shifts/route.ts;src/domain/commands/m3/CashierShift.ts;src/domain/commands/m3/PostSale.ts;src/lib/reconciliation/checks.ts;src/reports/index.ts","Direct references found"
"CashDrawerCount","cash_drawer_counts","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Payment","payments","16","src/adapters/index.ts;src/adapters/riskProvider.ts;src/app/api/v1/advances/route.ts;src/app/api/v1/payments/initiate/route.ts;src/app/api/v1/payments/route.ts;src/app/api/v1/payments/[id]/refund/route.ts;src/app/api/v1/payments/[id]/route.ts;src/app/api/v1/webhooks/payment/[provider]/route.ts;src/domain/commands/m3/CashierShift.ts;src/domain/commands/m3/Payments.ts;src/domain/commands/m3/PostSale.ts;src/domain/commands/m3/VoidSale.ts;src/domain/commands/m4/BankReconciliation.ts;src/lib/reconciliation/checks.ts;src/lib/tax/statutoryDocuments.ts;tests/unit/postSale.test.ts","Direct references found"
"PaymentAllocation","payment_allocations","6","src/app/api/v1/customers/[id]/route.ts;src/app/api/v1/installments/route.ts;src/domain/commands/m3/Payments.ts;src/domain/commands/m3/PostSale.ts;src/lib/reconciliation/checks.ts;tests/unit/postSale.test.ts","Direct references found"
"ReturnRefundAllocation","return_refund_allocations","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"Installment","installments","2","src/app/api/v1/installments/route.ts;src/reports/index.ts","Direct references found"
"InstallmentAllocation","installment_allocations","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
