"Model","Table","Relation","Target model","FK columns","Referenced columns","Schema onDelete","Schema onUpdate","Migration onDelete","Migration onUpdate","Migration file","Composite tenant FK"
"TaxReturnPeriod","tax_return_periods","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"TaxReturnPeriod","tax_return_periods","preparedDocument","StatutoryDocument","prepared_document_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ReconciliationRun","reconciliation_runs","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ReconciliationRun","reconciliation_runs","initiatedByUser","User","initiated_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ReconciliationFinding","reconciliation_findings","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ReconciliationFinding","reconciliation_findings","reconciliationRun","ReconciliationRun","reconciliation_run_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ReconciliationFinding","reconciliation_findings","branch","Branch","branch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ReconciliationFinding","reconciliation_findings","resolvedByUser","User","resolved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"RecoveryEpoch","recovery_epochs","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"IntegrationCredential","integration_credentials","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"IntegrationCredential","integration_credentials","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Category","categories","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Category","categories","parent","Category","parent_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"Brand","brands","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Unit","units","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Unit","units","baseUnit","Unit","base_unit_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"CustomerGroup","customer_groups","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Product","products","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Product","products","category","Category","category_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Product","products","brand","Brand","brand_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Product","products","unit","Unit","unit_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Product","products","defaultTaxCode","TaxCode","default_tax_code_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"MediaAsset","media_assets","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"MediaAsset","media_assets","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"EntityMediaLink","entity_media_links","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"EntityMediaLink","entity_media_links","mediaAsset","MediaAsset","media_asset_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductBarcode","product_barcodes","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ProductBarcode","product_barcodes","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductBarcode","product_barcodes","unit","Unit","unit_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ProductUnitOption","product_unit_options","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ProductUnitOption","product_unit_options","product","Product","product_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductUnitOption","product_unit_options","unit","Unit","unit_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductComboItem","product_combo_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ProductComboItem","product_combo_items","comboProduct","Product","combo_product_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductComboItem","product_combo_items","componentProduct","Product","component_product_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductComboItem","product_combo_items","componentUnit","Unit","component_unit_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DiscountPolicy","discount_policies","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DiscountPolicy","discount_policies","product","Product","product_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"DiscountPolicy","discount_policies","category","Category","category_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"DiscountPolicy","discount_policies","customerGroup","CustomerGroup","customer_group_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"DiscountPolicy","discount_policies","branch","Branch","branch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ProductPrice","product_prices","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ProductPrice","product_prices","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductPrice","product_prices","branch","Branch","branch_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"ProductPrice","product_prices","customerGroup","CustomerGroup","customer_group_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"ProductPrice","product_prices","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"TaxCode","tax_codes","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"TaxComponent","tax_components","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"TaxComponent","tax_components","inputAccount","ChartOfAccount","input_account_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"TaxComponent","tax_components","outputAccount","ChartOfAccount","output_account_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"TaxCodeComponent","tax_code_components","taxCode","TaxCode","tax_code_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","N/A"
"TaxCodeComponent","tax_code_components","taxComponent","TaxComponent","tax_component_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"WithholdingRule","withholding_rules","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ConfigurationValue","configuration_values","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ConfigurationValue","configuration_values","definition","ConfigurationDefinition","definition_key","key","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"ConfigurationValue","configuration_values","updater","User","updated_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PosProfile","pos_profiles","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"PosProfile","pos_profiles","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PosProfile","pos_profiles","defaultWarehouse","Warehouse","default_warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"PosProfile","pos_profiles","receiptTemplate","DocumentTemplate","receipt_template_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"PosProfile","pos_profiles","invoiceTemplate","DocumentTemplate","invoice_template_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"DocumentTemplate","document_templates","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DocumentTemplate","document_templates","approver","User","approved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"CompanyLanguage","company_languages","company","Company","company_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"CompanyLanguage","company_languages","language","SupportedLanguage","locale","locale","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"TranslationOverride","translation_overrides","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"TranslationOverride","translation_overrides","language","SupportedLanguage","locale","locale","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"TranslationOverride","translation_overrides","updater","User","updated_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"FeatureFlag","feature_flags","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"FeatureFlag","feature_flags","updater","User","updated_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DashboardPreference","dashboard_preferences","user","User","userId","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","present"
"DashboardPreference","dashboard_preferences","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SalesTarget","sales_targets","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SalesTarget","sales_targets","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SalesTarget","sales_targets","user","User","user_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SalesTarget","sales_targets","creator","User","created_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SavedReportFilter","saved_report_filters","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SavedReportFilter","saved_report_filters","user","User","user_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ReportExportJob","report_export_jobs","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ReportExportJob","report_export_jobs","requester","User","requested_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ReportExportJob","report_export_jobs","outputMedia","MediaAsset","output_media_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SupportTicket","support_tickets","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SupportTicket","support_tickets","opener","User","opened_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SupportTicket","support_tickets","assignee","User","assigned_to","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SupportTicketMessage","support_ticket_messages","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SupportTicketMessage","support_ticket_messages","ticket","SupportTicket","support_ticket_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SupportTicketMessage","support_ticket_messages","author","User","author_user_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"CommunicationTemplate","communication_templates","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"CommunicationTemplate","communication_templates","language","SupportedLanguage","locale","locale","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"CommunicationTemplate","communication_templates","approver","User","approved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"WarehouseStock","warehouse_stocks","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"WarehouseStock","warehouse_stocks","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"WarehouseStock","warehouse_stocks","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockMovement","stock_movements","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockMovement","stock_movements","businessEvent","BusinessEvent","event_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockMovement","stock_movements","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockMovement","stock_movements","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockMovement","stock_movements","reversalOf","StockMovement","reversal_of_movement_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockReservation","stock_reservations","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockReservation","stock_reservations","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockReservation","stock_reservations","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductBatch","product_batches","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ProductBatch","product_batches","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductBatch","product_batches","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockMovementBatch","stock_movement_batches","stockMovement","StockMovement","stock_movement_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockMovementBatch","stock_movement_batches","productBatch","ProductBatch","product_batch_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockMovementBatch","stock_movement_batches","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ProductSerial","product_serials","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ProductSerial","product_serials","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ProductSerial","product_serials","currentWarehouse","Warehouse","current_warehouse_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ProductSerial","product_serials","currentReservation","StockReservation","current_reservation_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ProductSerial","product_serials","originatingPurchaseItem","PurchaseItem","originating_purchase_item_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SerialEvent","serial_events","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SerialEvent","serial_events","serial","ProductSerial","serial_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SerialEvent","serial_events","businessEvent","BusinessEvent","event_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"SerialEvent","serial_events","stockMovement","StockMovement","stock_movement_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SerialEvent","serial_events","fromWarehouse","Warehouse","from_warehouse_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SerialEvent","serial_events","toWarehouse","Warehouse","to_warehouse_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"InventoryReasonCode","inventory_reason_codes","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockCount","stock_counts","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockCount","stock_counts","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockCount","stock_counts","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockCount","stock_counts","category","Category","category_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockCount","stock_counts","brand","Brand","brand_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockCountItem","stock_count_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockCountItem","stock_count_items","stockCount","StockCount","stock_count_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockCountItem","stock_count_items","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockCountItem","stock_count_items","batch","ProductBatch","batch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockCountItem","stock_count_items","reasonCode","InventoryReasonCode","reason_code_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockCountSerial","stock_count_serials","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockCountSerial","stock_count_serials","stockCountItem","StockCountItem","stock_count_item_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockCountSerial","stock_count_serials","serial","ProductSerial","serial_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustment","stock_adjustments","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockAdjustment","stock_adjustments","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustment","stock_adjustments","warehouse","Warehouse","warehouse_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustment","stock_adjustments","reasonCode","InventoryReasonCode","reason_code_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustment","stock_adjustments","sourceStockCount","StockCount","source_stock_count_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustment","stock_adjustments","reversalOf","StockAdjustment","reversal_of_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustmentItem","stock_adjustment_items","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StockAdjustmentItem","stock_adjustment_items","stockAdjustment","StockAdjustment","stock_adjustment_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustmentItem","stock_adjustment_items","product","Product","product_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustmentItem","stock_adjustment_items","batch","ProductBatch","batch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StockAdjustmentItem","stock_adjustment_items","businessEvent","BusinessEvent","event_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
